hour,price,charge_mw,discharge_mw,soc_mwh,ts,actual_price,predicted_price,forecast_error,daily_profit
6,53.51,0.0,0.0,67.777778,2024-01-11 06:00:00,47.38,53.51,-6.1299999999999955,0.0
7,53.16,0.0,0.0,67.777778,2024-01-11 07:00:00,50.03,53.16,-3.1299999999999955,0.0
8,63.75,0.0,12.4,54.0,2024-01-11 08:00:00,53.2,63.75,-10.549999999999997,0.0
9,47.98,20.0,0.0,72.0,2024-01-11 09:00:00,54.79,47.98,6.810000000000002,0.0
10,38.33,20.0,0.0,90.0,2024-01-11 10:00:00,48.81,38.33,10.480000000000004,0.0
11,60.92,0.0,0.0,90.0,2024-01-11 11:00:00,60.89,60.92,-0.030000000000001137,0.0
12,83.91,0.0,0.0,90.0,2024-01-11 12:00:00,48.12,83.91,-35.79,0.0
13,87.16,0.0,16.2,72.0,2024-01-11 13:00:00,67.06,87.16,-20.099999999999994,0.0
14,54.68,20.0,0.0,90.0,2024-01-11 14:00:00,51.55,54.68,-3.1300000000000026,0.0
15,87.59,0.0,16.2,72.0,2024-01-11 15:00:00,91.38,87.59,3.789999999999992,0.0
16,62.31,20.0,0.0,90.0,2024-01-11 16:00:00,82.04,62.31,19.730000000000004,0.0
17,105.9,0.0,20.0,67.777778,2024-01-11 17:00:00,98.98,105.9,-6.920000000000002,0.0
18,117.53,0.0,20.0,45.555556,2024-01-11 18:00:00,107.49,117.53,-10.040000000000006,0.0
19,89.06,0.0,0.0,45.555556,2024-01-11 19:00:00,106.68,89.06,17.620000000000005,0.0
20,108.29,0.0,20.0,23.333333,2024-01-11 20:00:00,113.95,108.29,5.659999999999997,0.0
21,103.12,0.0,3.0,20.0,2024-01-11 21:00:00,66.71,103.12,-36.41000000000001,0.0
22,64.95,0.0,0.0,20.0,2024-01-11 22:00:00,42.47,64.95,-22.480000000000004,0.0
23,51.46,0.0,0.0,20.0,2024-01-11 23:00:00,54.14,51.46,2.6799999999999997,0.0
0,60.12,0.0,12.6,36.0,2024-01-12 00:00:00,36.71,60.12,-23.409999999999997,5020.506
1,26.2,20.0,0.0,54.0,2024-01-12 01:00:00,43.43,26.2,17.23,0.0
2,26.25,20.0,0.0,72.0,2024-01-12 02:00:00,48.48,26.25,22.229999999999997,0.0
3,30.8,20.0,0.0,90.0,2024-01-12 03:00:00,25.02,30.8,-5.780000000000001,0.0
4,45.3,0.0,0.0,90.0,2024-01-12 04:00:00,51.87,45.3,6.57,0.0
5,51.09,0.0,0.0,90.0,2024-01-12 05:00:00,35.44,51.09,-15.650000000000006,0.0
6,47.38,0.0,0.0,90.0,2024-01-12 06:00:00,55.0,47.38,7.619999999999997,0.0
7,50.03,0.0,0.0,90.0,2024-01-12 07:00:00,38.93,50.03,-11.100000000000001,0.0
8,53.2,0.0,0.0,90.0,2024-01-12 08:00:00,60.95,53.2,7.75,0.0
9,54.79,0.0,0.0,90.0,2024-01-12 09:00:00,61.95,54.79,7.160000000000004,0.0
10,48.81,0.0,0.0,90.0,2024-01-12 10:00:00,48.53,48.81,-0.28000000000000114,0.0
11,60.89,0.0,0.0,90.0,2024-01-12 11:00:00,53.72,60.89,-7.170000000000002,0.0
12,48.12,0.0,0.0,90.0,2024-01-12 12:00:00,79.42,48.12,31.300000000000004,0.0
13,67.06,0.0,0.0,90.0,2024-01-12 13:00:00,71.68,67.06,4.6200000000000045,0.0
14,51.55,0.0,0.0,90.0,2024-01-12 14:00:00,91.27,51.55,39.72,0.0
15,91.38,0.0,0.0,90.0,2024-01-12 15:00:00,76.83,91.38,-14.549999999999997,0.0
16,82.04,0.0,0.0,90.0,2024-01-12 16:00:00,104.25,82.04,22.209999999999994,0.0
17,98.98,0.0,3.0,86.666667,2024-01-12 17:00:00,89.52,98.98,-9.460000000000008,0.0
18,107.49,0.0,20.0,64.444444,2024-01-12 18:00:00,131.46,107.49,23.970000000000013,0.0
19,106.68,0.0,20.0,42.222222,2024-01-12 19:00:00,109.81,106.68,3.1299999999999955,0.0
20,113.95,0.0,20.0,20.0,2024-01-12 20:00:00,103.69,113.95,-10.260000000000005,0.0
21,66.71,0.0,0.0,20.0,2024-01-12 21:00:00,68.51,66.71,1.8000000000000114,0.0
22,42.47,0.0,0.0,20.0,2024-01-12 22:00:00,75.9,42.47,33.43000000000001,0.0
23,54.14,0.0,0.0,20.0,2024-01-12 23:00:00,62.23,54.14,8.089999999999996,0.0
0,36.71,20.0,0.0,68.0,2024-01-13 00:00:00,27.8,36.71,-8.91,5203.972
1,43.43,0.0,0.0,68.0,2024-01-13 01:00:00,5.27,43.43,-38.16,0.0
2,48.48,0.0,0.0,68.0,2024-01-13 02:00:00,14.45,48.48,-34.03,0.0
3,25.02,20.0,0.0,86.0,2024-01-13 03:00:00,15.6,25.02,-9.42,0.0
4,51.87,0.0,12.6,72.0,2024-01-13 04:00:00,36.82,51.87,-15.049999999999997,0.0
